"subaward_primary_place_of_performance_state_name","n","long","lat","group","order","subregion"
"massachusetts",286,-71.06967926,42.811409,21,5991,"main"
"massachusetts",286,-71.04103851,42.8572464,21,5992,"main"
"massachusetts",286,-71.01239014,42.86870193,21,5993,"main"
"massachusetts",286,-70.90925598,42.87443161,21,5994,"main"
"massachusetts",286,-70.88633728,42.87443161,21,5995,"main"
"massachusetts",286,-70.84049988,42.8572464,21,5996,"main"
"massachusetts",286,-70.84622955,42.81713867,21,5997,"main"
"massachusetts",286,-70.85769653,42.811409,21,5998,"main"
"massachusetts",286,-70.85769653,42.79421997,21,5999,"main"
"massachusetts",286,-70.8347702,42.7598381,21,6000,"main"
"massachusetts",286,-70.81758118,42.71973419,21,6001,"main"
"massachusetts",286,-70.82331085,42.69681549,21,6002,"main"
"massachusetts",286,-70.78320313,42.68535614,21,6003,"main"
"massachusetts",286,-70.7717514,42.67962646,21,6004,"main"
"massachusetts",286,-70.7717514,42.64524841,21,6005,"main"
"massachusetts",286,-70.72018433,42.63951874,21,6006,"main"
"massachusetts",286,-70.70298767,42.62232971,21,6007,"main"
"massachusetts",286,-70.697258,42.58795547,21,6008,"main"
"massachusetts",286,-70.71445465,42.57076263,21,6009,"main"
"massachusetts",286,-70.76029205,42.55930328,21,6010,"main"
"massachusetts",286,-70.84622955,42.55357361,21,6011,"main"
"massachusetts",286,-70.87487793,42.54211807,21,6012,"main"
"massachusetts",286,-70.88633728,42.52492905,21,6013,"main"
"massachusetts",286,-70.8806076,42.51346588,21,6014,"main"
"massachusetts",286,-70.85769653,42.50201035,21,6015,"main"
"massachusetts",286,-70.85769653,42.49628067,21,6016,"main"
"massachusetts",286,-70.86914825,42.47336197,21,6017,"main"
"massachusetts",286,-70.93790436,42.45617294,21,6018,"main"
"massachusetts",286,-70.97228241,42.45044327,21,6019,"main"
"massachusetts",286,-70.99520111,42.43325424,21,6020,"main"
"massachusetts",286,-71.00093079,42.41606522,21,6021,"main"
"massachusetts",286,-71.00666046,42.39887619,21,6022,"main"
"massachusetts",286,-71.00093079,42.37595749,21,6023,"main"
