"subawardee_name","subaward_amount","subaward_action_date_fiscal_year","subawardee_business_types","subaward_description_list"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2.1e+07,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",11200000,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",11200000,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",8e+06,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",8e+06,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",6e+06,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",6e+06,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",4e+06,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",4e+06,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",5e+05,2016,"Contracts and Grants","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",5e+05,2016,"For-Profit Organization","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",5e+05,2016,"Manufacturer of Goods","CostPlusFixedFee"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",199862,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",199862,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",197547,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",197547,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",197472,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",197472,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",99925,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",99925,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",98553,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",98553,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",91925,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",91925,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2176384,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2176384,2020,"Manufacturer of Goods","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2148728,2020,"For-Profit Organization","NRE-Other"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2148728,2020,"Manufacturer of Goods","NRE-Other"
